team.name,shots,goals,passes,passes_completes,foul_won,foul_commited,carry,miscontrol,pressure,dribble,passes_na_area,passes_completes_na_area
Argentina,14.5,1.5,615.25,508.5,20.25,15.5,528.75,10.5,158.5,20,39.25,12.5
Belgium,15.428571428571429,2.142857142857143,539.8571428571429,457.42857142857144,12.714285714285714,15.142857142857142,461.57142857142856,9.428571428571429,204.57142857142858,16.285714285714285,37.142857142857146,15.428571428571429
Brazil,20.6,1.6,580,495.2,17,11.6,523,13.4,173.6,24.4,48,21.4
Colombia,11.5,2.25,498,382,14,16.25,406.5,15.75,188.5,19.75,28.25,8.75
Croatia,17.714285714285715,2.857142857142857,580.8571428571429,454,16,17.428571428571427,441.85714285714283,12.285714285714286,164.42857142857142,15.571428571428571,42.42857142857143,12.285714285714286
Denmark,11.25,1.25,450.75,344.75,8.25,14.5,367.5,14.5,169.25,15,34.75,10.75
England,14.428571428571429,2.2857142857142856,583,484.7142857142857,15.714285714285714,10.714285714285714,478,12.285714285714286,195,17.285714285714285,46.57142857142857,15.428571428571429
France,11.714285714285714,1.7142857142857142,465.57142857142856,371.42857142857144,15.714285714285714,14.142857142857142,391.14285714285717,12.142857142857142,187.71428571428572,19.714285714285715,31,11.571428571428571
Japan,11,1.5,537.5,438,12.5,10.75,424.25,10,165.25,10.5,27.5,9.75
Mexico,15.5,0.75,439,356.5,14.75,14.5,392.25,10,169,27.25,30,11.5
Portugal,14.5,1.5,502,404.75,15.5,13.25,404,9.5,162.5,17,31.5,12
Russia,11.8,3.4,395.6,272.8,12.4,19.4,257.2,14.2,205.4,11.4,35,11
Spain,19.25,2.25,876.5,783.5,15.75,9.5,716.5,12.5,154.25,25.25,49.25,22.5
Sweden,11.6,1,333.8,236,13.8,16,227,10,205.4,10.4,30.4,10.8
Switzerland,13.75,1.25,555.5,460.5,14.5,15,462.5,10.75,176.5,15.5,39.5,11.75
Uruguay,12.6,1.2,460.6,357,15.2,15,358.6,13.8,174,13.2,35.6,12.8
